J_Id,medium
1656,Print
1657,Radio
1658,Print
1659,Print
1660,Internet
1661,Print
1662,Radio
1663,Print
1664,Print
1665,Print
1666,Print
1667,Print
1668,Print
1669,Print
1670,Internet
1672,Print
1672,Television
1673,Television
1674,Print
1675,Print
1676,Television
1677,Radio
1678,Print
1679,Internet
1679,Print
1680,Internet
1681,Print
1682,Print
1683,Print
1684,Print
1685,Internet
1686,Television
1688,Television
1689,Print
1689,Internet
1690,Print
1691,Print
1692,Television
1693,Internet
1694,Print
1695,Internet
1695,Print
1696,Print
1697,Print
1698,Print
1699,Radio
1700,Internet
1701,Television
1701,Internet
1702,Print
1702,Television
1703,Television
1704,Documentary Film
1705,Print
1706,Internet
1706,Radio
1708,Television
1709,Documentary Film
1709,Internet
1709,Television
1710,Internet
1711,Television
1711,Internet
1712,Television
1713,Television
1714,Television
1715,Television
1716,Television
1717,Television
1718,Television
1718,Internet
1719,Television
1720,Radio
1721,Print
1722,Radio
1724,Television
1725,Print
1726,Print
1727,Internet
1728,Print
1729,Television
1730,Television
1731,Print
1732,Print
1733,Television
1734,Internet
1737,Print
1739,Radio
1741,Print
1742,Internet
1743,Print
1744,Internet
1745,Print
1746,Radio
1747,Internet
1748,Internet
1749,Print
1750,Print
1751,Print
1752,Print
1752,Internet
1753,Print
1754,Internet
1754,Print
1755,Print
1756,Print
1759,Print
1760,Television
1762,Internet
1764,Print
1765,Print
1767,Print
1768,Print
1769,Print
1770,Radio
1770,Television
1773,Internet
1774,Print
1775,Print
1776,Documentary Film
1777,Internet
1778,Internet
1779,Print
1781,Internet
1782,Print
1783,Internet
1784,Internet
1785,Print
1786,Print
1786,Internet
1787,Print
1787,Internet
1789,Internet
1790,Print
1790,Radio
1791,Television
1792,Print
1793,Internet
1794,Internet
1795,Print
1796,Print
1797,Television
1797,Internet
1799,Internet
1799,Print
1800,Print
1801,Internet
1802,Print
1803,Internet
1804,Internet
1806,Internet
1807,Internet
1807,Print
1808,Internet
1809,Print
1810,Television
1811,Television
1814,Print
1815,Print
1818,Print
1819,Print
1820,Print
1821,Internet
1822,Internet
1823,Print
1824,Internet
1825,Print
1825,Internet
1826,Print
1827,Internet
1828,Internet
1829,Internet
1830,Internet
1831,Print
1832,Internet
1833,Internet
1834,Internet
1835,Print
1837,Internet
1838,Print
1839,Internet
1839,Television
1840,Internet
1840,Print
1841,Print
1842,Internet
1843,Internet
1844,Internet
1845,Print
1845,Internet
1847,Radio
1847,Television
1849,Radio
1852,Print
1854,Print
1854,Radio
1856,Print
1859,Print
1862,Print
1863,Print
1863,Radio
1864,Print
1864,Internet
1865,Print
1866,Internet
1867,Internet
1868,Internet
1870,Internet
1871,Internet
1871,Print
1872,Print
1873,Internet
1874,Internet
1875,Radio
1876,Print
1877,Print
1878,Internet
1879,Print
1880,Radio
1881,Print
1882,Print
1883,Print
1884,Radio
1885,Print
1885,Television
1886,Print
1887,Internet
1888,Print
1889,Television
1890,Radio
1891,Radio
1892,Radio
1892,Internet
1893,Radio
1893,Internet
1894,Print
1895,Print
1896,Internet
1897,Internet
1898,Internet
1898,Print
1899,Television
1901,Internet
1901,Television
1902,Television
1904,Internet
1905,Print
1906,Television
1907,Internet
1908,Print
1909,Television
1910,Print
1911,Documentary Film
1912,Internet
1913,Print
1914,Internet
1915,Internet
1915,Television
1916,Print
1917,Internet
1919,Print
1920,Internet
1921,Print
1922,Internet
1923,Television
1925,Print
1926,Radio
1927,Print
1928,Print
1929,Print
1930,Radio
1931,Print
1932,Print
1933,Print
1934,Print
1936,Print
1937,Print
1939,Radio
1941,Print
1942,Print
1943,Internet
1944,Print
1946,Print
1947,Television
1953,Television
1954,Print
1955,Print
1955,Radio
1956,Internet
1957,Print
1958,Internet
1959,Print
1961,Radio
1962,Print
1963,Radio
1965,Print
1966,Print
1966,Internet
1968,Internet
1970,Print
1973,Print
1973,Radio
1974,Print
1975,Television
1976,Print
1977,Print
1978,Print
1980,Internet
1980,Print
1981,Print
1982,Radio
1983,Print
1983,Internet
1984,Radio
1985,Print
1987,Documentary Film
1987,Internet
1987,Print
1987,Radio
1987,Television
1988,Internet
1989,Internet
1990,Television
1991,Radio
1994,Print
1995,Print
1996,Broadcast
1997,Print
1999,Print
2000,Internet
2000,Print
2001,Print
2001,Radio
2001,Internet
2002,Print
2003,Print
2004,Radio
2005,Print
2006,Print
2006,Internet
2007,Internet
2010,Documentary Film
2014,Internet
2015,Radio
2016,Television
2017,Print
2017,Internet
2019,Television
2022,Television
2023,Television
2023,Internet
2024,Internet
2025,Internet
2026,Print
2027,Radio
2028,Internet
2029,Internet
2031,Print
2032,Print
2033,Internet
2034,Internet
2035,Print
2035,Internet
2037,Internet
2038,Print
2039,Internet
2039,Print
2040,Print
2041,Internet
2041,Print
2042,Print
2043,Print
2044,Internet
2045,Internet
2045,Print
2045,Television
2046,Print
2047,Internet
2047,Print
2048,Print
2049,Print
2050,Internet
2050,Print
2053,Television
2053,Internet
2054,Print
2055,Print
2056,Television
2057,Print
2058,Radio
2059,Print
2061,Internet
2062,Internet
2062,Radio
2063,Print
2064,Print
2065,Print
2066,Print
2068,Print
2069,Print
2071,Print
2073,Print
2074,Print
2075,Radio
2076,Radio
2077,Print
2078,Print
2079,Print
2079,Television
2080,Print
2080,Internet
2081,Internet
2082,Print
2083,Print
2084,Print
2085,Print
2086,Print
2087,Television
2090,Print
2091,Television
2092,Radio
2094,Print
2095,Television
2095,Internet
2096,Print
2097,Print
2098,Print
2099,Radio
2102,Print
2103,Print
2104,Television
2105,Television
2106,Print
2107,Print
2107,Internet
2108,Radio
2109,Internet
2112,Print
2113,Internet
2114,Print
2116,Television
2116,Internet
2117,Internet
2119,Internet
2120,Print
2121,Radio
2122,Internet
2122,Print
2123,Internet
2124,Internet
2125,Internet
2125,Television
2126,Internet
2127,Internet
2128,Radio
2129,Radio
2130,Internet
2131,Print
2132,Internet
2133,Print
2134,Television
2135,Radio
2136,Internet
2137,Internet
2138,Television
2139,Radio
2139,Television
2140,Television
2141,Print
2142,Print
2143,Print
2144,Television
2145,Radio
2145,Internet
2146,Internet
2147,Print
2148,Radio
2149,Print
2150,Print
2151,Internet
2152,Television
2153,Internet
2154,Print
2155,Television
2156,Internet
2157,Internet
2158,Internet
2159,Internet
2161,Internet
2162,Documentary Film
2162,Internet
2163,Internet
2164,Television
2165,Internet
2165,Print
2165,Television
