J_Id,coverage
936,Culture
936,Politics
937,Corruption
937,Politics
937,War
938,Corruption
938,Crime
938,Culture
938,Human Rights
938,Politics
938,War
939,Business
939,Corruption
939,Crime
939,Culture
939,Human Rights
939,Politics
939,Sports
939,War
941,Corruption
942,Business
942,Corruption
942,Human Rights
942,Politics
944,Culture
944,Human Rights
944,Politics
946,Business
946,Corruption
947,Politics
948,Politics
950,Politics
951,War
952,Human Rights
952,Politics
953,Culture
954,Politics
954,Corruption
954,Human Rights
955,Culture
957,Corruption
957,Culture
957,Human Rights
957,Politics
958,Business
959,Politics
960,Corruption
960,Politics
961,Corruption
961,Crime
965,Crime
966,Human Rights
966,Politics
968,Politics
969,Culture
969,War
970,Human Rights
971,Human Rights
972,War
973,Corruption
973,Human Rights
973,Politics
973,War
974,War
975,Human Rights
976,Corruption
976,Politics
977,Culture
978,Politics
979,Politics
980,Politics
982,Human Rights
982,Politics
982,Sports
983,Politics
984,Corruption
984,War
985,War
987,Politics
988,Politics
989,Corruption
989,Politics
990,Politics
992,Politics
992,Corruption
993,Corruption
993,Human Rights
993,Politics
993,War
994,Human Rights
994,Politics
995,Politics
995,War
996,Crime
996,Culture
998,Culture
998,Politics
998,War
1001,War
1002,Culture
1002,Human Rights
1003,Business
1003,Corruption
1003,Crime
1003,Culture
1003,Human Rights
1003,Politics
1003,Sports
1003,War
1005,Culture
1005,Politics
1006,Politics
1009,Politics
1010,Politics
1012,Human Rights
1012,Politics
1013,Crime
1014,War
1016,Politics
1017,Politics
1019,Politics
1020,Politics
1022,Crime
1024,Corruption
1024,Crime
1026,Corruption
1026,Human Rights
1027,Politics
1028,Human Rights
1029,War
1031,Corruption
1033,Politics
1035,Politics
1036,Corruption
1036,Politics
1037,Politics
1038,Politics
1039,Business
1039,Corruption
1039,Crime
1039,Culture
1039,Human Rights
1039,Politics
1039,Sports
1039,War
1042,Business
1042,Corruption
1042,Crime
1042,Culture
1042,Human Rights
1042,Politics
1042,Sports
1042,War
1043,Human Rights
1043,War
1044,Human Rights
1045,Human Rights
1045,Politics
1046,Corruption
1046,Crime
1047,Politics
1048,Politics
1050,Politics
1050,War
1051,Politics
1051,War
1052,Politics
1054,Human Rights
1054,Politics
1055,Crime
1056,Corruption
1057,Corruption
1058,War
1059,Politics
1060,Corruption
1060,Crime
1061,Human Rights
1061,Politics
1062,Corruption
1062,Crime
1062,Politics
1063,Crime
1065,Politics
1066,Crime
1066,Politics
1069,Corruption
1069,Politics
1070,Human Rights
1071,Politics
1073,Politics
1075,Politics
1076,Politics
1077,Corruption
1077,Politics
1078,Politics
1078,War
1079,Politics
1080,Business
1080,Culture
1082,Human Rights
1082,Politics
1082,War
1084,War
1086,Politics
1086,War
1088,Corruption
1088,Human Rights
1088,Politics
1089,Politics
1090,Corruption
1091,Corruption
1091,Politics
1092,Politics
1094,Crime
1094,Culture
1094,Human Rights
1094,Politics
1095,Politics
1095,War
1096,Corruption
1096,Human Rights
1096,Politics
1097,Corruption
1097,Crime
1097,Politics
1098,Politics
1099,Politics
1100,Crime
1101,Corruption
1101,Politics
1102,Politics
1103,Corruption
1105,War
1106,Politics
1111,Corruption
1111,Human Rights
1112,Culture
1112,Human Rights
1112,Politics
1114,War
1115,Corruption
1116,Corruption
1116,Politics
1117,Business
1117,Crime
1117,Culture
1117,Politics
1119,Crime
1119,Politics
1120,Politics
1122,Business
1122,Corruption
1122,Politics
1123,Corruption
1123,Politics
1124,Politics
1124,War
1126,Corruption
1126,Human Rights
1126,Politics
1127,Corruption
1130,Human Rights
1130,Politics
1130,War
1131,Culture
1131,Sports
1134,Crime
1134,Politics
1134,War
1136,Politics
1137,Culture
1137,Human Rights
1137,Politics
1139,Human Rights
1139,Politics
1139,War
1140,Human Rights
1140,Politics
1141,Crime
1141,Culture
1141,Politics
1142,Culture
1143,Human Rights
1144,Corruption
1144,Politics
1145,Politics
1146,Human Rights
1146,Politics
1148,Politics
1150,Corruption
1150,Crime
1155,Politics
1156,Politics
1158,Crime
1159,Crime
1159,Sports
1161,War
1162,Politics
1162,War
1163,Human Rights
1163,War
1164,Culture
1165,Corruption
1165,Crime
1166,Politics
1169,Politics
1170,Culture
1170,Human Rights
1170,Politics
1171,Crime
1172,Corruption
1172,Human Rights
1172,Politics
1173,Corruption
1173,Politics
1174,Corruption
1174,Politics
1175,Politics
1176,Culture
1178,Politics
1179,Crime
1179,Politics
1180,Corruption
1180,Culture
1180,Sports
1181,Politics
1182,Corruption
1182,Crime
1182,Human Rights
1182,Politics
1186,Crime
1186,Politics
1191,Culture
1191,Human Rights
1191,Politics
1192,Politics
1193,Human Rights
1193,Politics
1193,War
1194,War
1197,Business
1199,Culture
1200,Corruption
1200,Politics
1201,Corruption
1201,Human Rights
1201,Politics
1202,Human Rights
1202,Politics
1205,Politics
1205,War
1206,Politics
1206,War
1207,Politics
1210,Politics
1211,Business
1213,Corruption
1213,Human Rights
1213,Politics
1216,Politics
1217,Politics
1218,Politics
1219,Corruption
1219,Culture
1219,Politics
1220,Politics
1221,Culture
1222,War
1223,Politics
1223,Sports
1224,Culture
1224,Human Rights
1225,Politics
1226,Corruption
1226,Human Rights
1226,Politics
1227,Human Rights
1227,War
1229,Culture
1230,Politics
1231,Corruption
1231,Politics
1232,Corruption
1233,Business
1233,Corruption
1233,Crime
1233,Politics
1234,Politics
1235,Culture
1235,Politics
1236,Politics
1237,Human Rights
1237,Politics
1238,Politics
1239,War
1240,Politics
1241,Crime
1241,Politics
1242,Culture
1242,Human Rights
1242,Politics
1242,War
1242,Sports
1243,War
1244,Politics
1245,Corruption
1245,Crime
1247,Politics
1248,Culture
1249,War
