J_Id,job
592,Columnist/Commentator
594,Publisher/Owner
595,Print Reporter
596,Publisher/Owner
597,Print Reporter
598,Editor
599,Editor
599,Print Reporter
600,Print Reporter
601,Print Reporter
601,Publisher/Owner
602,Broadcast Reporter
603,Editor
603,Publisher/Owner
604,Broadcast Reporter
604,Producer
605,Photographer
606,Camera Operator
607,Editor
608,Camera Operator
608,Internet Reporter
608,Print Reporter
609,Broadcast Reporter
610,Print Reporter
611,Broadcast Reporter
611,Print Reporter
613,Print Reporter
614,Publisher/Owner
615,Editor
616,Print Reporter
618,Broadcast Reporter
618,Internet Reporter
619,Editor
621,Columnist/Commentator
621,Print Reporter
623,Editor
624,Editor
625,Print Reporter
626,Camera Operator
627,Camera Operator
627,Internet Reporter
627,Producer
628,Columnist/Commentator
629,Editor
629,Internet Reporter
629,Publisher/Owner
630,Photographer
631,Broadcast Reporter
632,Columnist/Commentator
632,Producer
635,Columnist/Commentator
637,Internet Reporter
638,Broadcast Reporter
638,Print Reporter
639,Print Reporter
640,Editor
641,Publisher/Owner
642,Camera Operator
643,Photographer
644,Editor
645,Print Reporter
646,Publisher/Owner
647,Print Reporter
648,Print Reporter
649,Columnist/Commentator
650,Print Reporter
652,Broadcast Reporter
653,Photographer
654,Editor
655,Columnist/Commentator
656,Print Reporter
658,Editor
659,Columnist/Commentator
660,Print Reporter
661,Broadcast Reporter
661,Columnist/Commentator
663,Broadcast Reporter
666,Broadcast Reporter
666,Camera Operator
667,Broadcast Reporter
668,Columnist/Commentator
670,Publisher/Owner
672,Print Reporter
673,Internet Reporter
673,Print Reporter
674,Internet Reporter
674,Print Reporter
675,Print Reporter
676,Print Reporter
677,Editor
678,Print Reporter
679,Print Reporter
680,Editor
681,Editor
683,Print Reporter
684,Print Reporter
685,Producer
685,Publisher/Owner
686,Print Reporter
687,Publisher/Owner
689,Print Reporter
691,Print Reporter
692,Internet Reporter
693,Editor
694,Publisher/Owner
695,Internet Reporter
695,Print Reporter
696,Columnist/Commentator
696,Internet Reporter
697,Print Reporter
697,Publisher/Owner
698,Internet Reporter
699,Internet Reporter
700,Internet Reporter
700,Print Reporter
700,Producer
700,Publisher/Owner
700,Technician
701,Internet Reporter
702,Publisher/Owner
703,Print Reporter
704,Publisher/Owner
704,Editor
705,Print Reporter
706,Print Reporter
707,Print Reporter
709,Print Reporter
710,Photographer
710,Print Reporter
711,Columnist/Commentator
711,Photographer
712,Editor
713,Internet Reporter
713,Print Reporter
714,Print Reporter
715,Producer
716,Photographer
717,Editor
718,Producer
718,Documentary Filmmaker
719,Print Reporter
720,Broadcast Reporter
721,Editor
721,Publisher/Owner
722,Broadcast Reporter
722,Internet Reporter
724,Photographer
724,Internet Reporter
724,Print Reporter
725,Internet Reporter
725,Publisher/Owner
726,Broadcast Reporter
728,Editor
729,Editor
729,Publisher/Owner
730,Internet Reporter
730,Print Reporter
731,Technician
732,Editor
732,Publisher/Owner
733,Editor
736,Columnist/Commentator
737,Print Reporter
738,Columnist/Commentator
739,Editor
740,Photographer
742,Editor
743,Print Reporter
744,Editor
745,Broadcast Reporter
746,Print Reporter
747,Internet Reporter
748,Broadcast Reporter
749,Internet Reporter
750,Photographer
751,Internet Reporter
753,Print Reporter
754,Editor
756,Print Reporter
757,Print Reporter
758,Columnist/Commentator
758,Publisher/Owner
759,Columnist/Commentator
759,Editor
761,Internet Reporter
762,Broadcast Reporter
763,Editor
763,Print Reporter
764,Publisher/Owner
765,Broadcast Reporter
765,Producer
766,Broadcast Reporter
767,Editor
768,Broadcast Reporter
769,Print Reporter
770,Photographer
771,Producer
772,Broadcast Reporter
774,Editor
775,Print Reporter
777,Print Reporter
778,Print Reporter
779,Columnist/Commentator
