J_Id,charge
1110,No Charge
1118,No Charge
1126,Anti-State
1127,Defamation
1127,False News
1132,Anti-State
1133,Anti-State
1136,No charge disclosed
1137,Anti-State
1138,No Charge
1144,Anti-State
1149,Anti-State
1149,False News
1155,Anti-State
1162,Anti-State
1166,Anti-State
1170,Anti-State
1172,Anti-State
1173,Anti-State
1174,Anti-State
1175,Retaliatory
1176,Anti-State
1177,Anti-State
1178,Retaliatory
1181,Defamation
1185,Anti-State
1186,Anti-State
1187,Anti-State
1188,Anti-State
1191,Anti-State
1192,Anti-State
1195,Retaliatory
1196,No Charge
1197,No Charge
1199,No Charge
1202,Anti-State
1207,Retaliatory
1209,Anti-State
1210,No Charge
1211,Anti-State
1215,Defamation
1216,Anti-State
1217,Anti-State
1218,Anti-State
1218,False News
1219,Anti-State
1221,No Charge
1223,No charge disclosed
1224,Anti-State
1226,Anti-State
1226,Retaliatory
1229,Ethnic or Religious Insult
1230,Anti-State
1231,Defamation
1232,False News
1234,No Charge
1235,No Charge
1236,No Charge
1237,Anti-State
1240,Anti-State
1241,Anti-State
1246,Anti-State
1247,Anti-State
1248,Anti-State
1251,False News
1256,Anti-State
1256,Retaliatory
1257,Anti-State
1258,False News
1258,Defamation
1259,Anti-State
1260,No Charge
1264,Anti-State
1264,False News
1265,No charge disclosed
1266,Anti-State
1268,Anti-State
1270,Anti-State
1271,Anti-State
1272,No Charge
1273,Anti-State
1274,Anti-State
1279,No Charge
1280,Anti-State
1281,Anti-State
1282,Anti-State
1285,Retaliatory
1287,Anti-State
1293,Anti-State
1294,Anti-State
1300,Retaliatory
1301,Anti-State
1303,Anti-State
1304,Anti-State
1304,Retaliatory
1306,Anti-State
1311,Anti-State
1311,False News
1312,Anti-State
1314,Anti-State
1314,Retaliatory
1315,Anti-State
1316,Anti-State
1318,Anti-State
1319,Anti-State
1320,Anti-State
1322,Anti-State
1323,Anti-State
1323,False News
1324,Anti-State
1327,Anti-State
1328,Anti-State
1329,Retaliatory
1330,Anti-State
1331,Anti-State
1332,Anti-State
1333,Retaliatory
1341,Anti-State
1346,Anti-State
1347,Anti-State
1348,Anti-State
1351,Anti-State
1352,Retaliatory
1354,Anti-State
1358,Anti-State
1361,Anti-State
1362,Anti-State
1364,Anti-State
1367,Anti-State
1371,No Charge
1372,No Charge
1373,Anti-State
1373,Defamation
1373,Retaliatory
1374,Retaliatory
1375,No Charge
1376,Defamation
1376,Retaliatory
1381,Anti-State
1382,Anti-State
1383,No charge disclosed
1384,Anti-State
1392,Retaliatory
1398,Defamation
1398,Retaliatory
1401,Anti-State
1402,No charge disclosed
1411,No Charge
1419,No Charge
1421,Anti-State
1421,False News
1424,No Charge
1425,Anti-State
1425,False News
1428,Anti-State
1429,No Charge
1435,Anti-State
1435,Defamation
1436,No Charge
1445,Anti-State
1447,No Charge
1450,Anti-State
1453,Anti-State
1454,Retaliatory
1459,Anti-State
1467,Anti-State
1471,No Charge
1479,Anti-State
1479,Defamation
1483,Retaliatory
1485,Anti-State
1486,Anti-State
1488,Anti-State
1490,Anti-State
1492,Anti-State
1493,No Charge
1499,Anti-State
1503,Anti-State
1503,False News
1505,No Charge
1507,Retaliatory
1510,Anti-State
1512,Defamation
1512,Anti-State
1514,Anti-State
1515,Anti-State
1519,No Charge
1520,No Charge
1522,Anti-State
1527,Retaliatory
1533,Anti-State
1535,Anti-State
1536,Retaliatory
1539,Anti-State
1540,Anti-State
1541,Anti-State
1542,Anti-State
1543,No charge disclosed
1544,No Charge
1544,No charge disclosed
1547,No charge disclosed
1548,Anti-State
1549,Anti-State
1551,Anti-State
1559,Anti-State
1565,No Charge
1566,Anti-State
1566,Defamation
1567,Anti-State
1569,No Charge
1572,Anti-State
1572,Retaliatory
1585,Anti-State
1587,Anti-State
1593,Retaliatory
1611,Anti-State
1615,Anti-State
1626,Anti-State
1627,Retaliatory
1632,Anti-State
1637,Anti-State
1639,Anti-State
1647,Defamation
1652,Anti-State
1656,Retaliatory
1657,No charge disclosed
1658,No charge disclosed
1661,No Charge
1662,No Charge
1664,Anti-State
1665,Anti-State
1666,Anti-State
1669,Anti-State
1672,No Charge
1673,Anti-State
1673,Retaliatory
1674,Anti-State
1679,Anti-State
1679,False News
1680,Anti-State
1680,False News
1683,Anti-State
1685,Anti-State
1690,Anti-State
1691,Anti-State
1693,Anti-State
1695,Anti-State
1696,Anti-State
1698,Anti-State
1699,Anti-State
1700,Anti-State
1704,Anti-State
1704,Retaliatory
1706,Retaliatory
1709,Anti-State
1710,Anti-State
1710,False News
1720,Anti-State
1724,Anti-State
1726,Anti-State
1727,Anti-State
1728,Anti-State
1729,Anti-State
1734,Anti-State
1741,Anti-State
1742,Anti-State
1744,Anti-State
1745,Anti-State
1745,Retaliatory
1747,Anti-State
1748,Anti-State
1749,Anti-State
1752,Anti-State
1753,Anti-State
1754,Anti-State
1755,Censorship Violation
1756,Anti-State
1762,No Charge
1769,Defamation
1769,Ethnic or Religious Insult
1770,Anti-State
1774,Anti-State
1776,No Charge
1777,Anti-State
1778,Anti-State
1779,No Charge
1781,Defamation
1783,Retaliatory
1784,Anti-State
1786,Anti-State
1792,Defamation
1793,Retaliatory
1795,False News
1799,Retaliatory
1801,Anti-State
1802,Retaliatory
1803,Anti-State
1804,Anti-State
1806,Retaliatory
1807,Anti-State
1808,Anti-State
1809,Anti-State
1813,Anti-State
1814,Anti-State
1816,Anti-State
1818,No Charge
1820,Anti-State
1821,No Charge
1822,Anti-State
1823,Retaliatory
1824,Anti-State
1825,Defamation
1826,Anti-State
1827,No Charge
1828,Retaliatory
1829,Anti-State
1830,Anti-State
1831,Anti-State
1832,Anti-State
1834,Anti-State
1835,Defamation
1837,Defamation
1838,Anti-State
1838,False News
1840,No Charge
1841,Anti-State
1842,Anti-State
1843,Anti-State
1844,Anti-State
1866,Anti-State
1867,Anti-State
1868,Anti-State
1872,Anti-State
1873,Anti-State
1874,Anti-State
1877,Anti-State
1878,Retaliatory
1879,Anti-State
1880,Anti-State
1883,Retaliatory
1885,Defamation
1886,Retaliatory
1894,Anti-State
1895,Anti-State
1896,Anti-State
1897,Anti-State
1897,Retaliatory
1898,Anti-State
1898,Retaliatory
1901,Anti-State
1901,False News
1902,Retaliatory
1903,Ethnic or Religious Insult
1907,No Charge
1908,Anti-State
1910,Defamation
1910,Anti-State
1910,Retaliatory
1911,Anti-State
1913,Anti-State
1914,Anti-State
1915,No Charge
1919,Ethnic or Religious Insult
1922,No Charge
1926,Defamation
1926,False News
1926,Anti-State
1927,Defamation
1928,Anti-State
1928,Ethnic or Religious Insult
1928,Retaliatory
1929,No Charge
1930,Anti-State
1930,False News
1932,Anti-State
1934,Ethnic or Religious Insult
1935,Anti-State
1936,Defamation
1937,No Charge
1941,Anti-State
1943,Anti-State
1957,Anti-State
1965,Anti-State
1974,No Charge
1978,Defamation
1980,Defamation
1983,Anti-State
1985,Anti-State
1987,No charge disclosed
1988,Anti-State
1988,False News
1989,Anti-State
1996,Anti-State
1997,Ethnic or Religious Insult
1999,Anti-State
1999,False News
2000,Anti-State
2001,Anti-State
2002,Defamation
2003,No charge disclosed
2004,Anti-State
2005,Anti-State
2006,Retaliatory
2007,Anti-State
2007,Retaliatory
2018,No Charge
2020,Anti-State
2024,Anti-State
2025,Anti-State
2026,No Charge
2027,Anti-State
2028,Defamation
2029,Defamation
2031,No charge disclosed
2033,Anti-State
2034,Defamation
2035,Anti-State
2037,Retaliatory
2039,Anti-State
2040,Anti-State
2041,Anti-State
2043,Anti-State
2044,Anti-State
2045,Anti-State
2046,Anti-State
2047,Anti-State
2049,Anti-State
2050,Anti-State
2050,False News
2054,Anti-State
2055,Anti-State
2058,No Charge
2059,False News
2061,Anti-State
2062,Anti-State
2063,No charge disclosed
2064,Anti-State
2065,No charge disclosed
2066,Anti-State
2068,Anti-State
2070,Anti-State
2071,Anti-State
2075,No Charge
2076,Defamation
2078,Defamation
2081,Anti-State
2081,Retaliatory
2082,Defamation
2083,Defamation
2083,Retaliatory
2084,False News
2085,Defamation
2090,Anti-State
2094,Anti-State
2097,Defamation
2099,Anti-State
2105,Anti-State
2106,No charge disclosed
2113,Anti-State
2113,False News
2114,No Charge
2117,Anti-State
2117,Defamation
2119,Anti-State
2122,Anti-State
2122,False News
2123,Defamation
2123,False News
2125,Anti-State
2126,Anti-State
2126,False News
2126,Retaliatory
2127,Anti-State
2129,No Charge
2129,Anti-State
2129,Defamation
2129,False News
2131,Retaliatory
2132,Ethnic or Religious Insult
2134,Anti-State
2136,Anti-State
2136,False News
2137,Anti-State
2137,False News
2146,Anti-State
2147,Retaliatory
2148,No Charge
2153,Anti-State
2153,False News
2156,Retaliatory
2158,Defamation
2160,No Charge
2161,Anti-State
2161,Defamation
2161,Retaliatory
2162,Anti-State
2162,Censorship Violation
2163,Retaliatory
2165,Anti-State
2165,False News
2168,Anti-State
2169,No Charge
2171,Retaliatory
2172,Anti-State
2174,Anti-State
2175,Anti-State
2179,No charge disclosed
2181,Anti-State
2181,Defamation
2182,Anti-State
2184,No Charge
2185,Anti-State
2185,No Charge
2189,Anti-State
2191,Anti-State
2196,Defamation
2197,No Charge
2198,No Charge
2199,No Charge
2200,No Charge
2201,No Charge
2209,Anti-State
2210,No Charge
2214,Retaliatory
2215,No Charge
2218,Retaliatory
2223,Anti-State
2226,No charge disclosed
2227,Anti-State
2227,Defamation
2227,False News
2231,False News
2235,Anti-State
2236,No Charge
2237,Defamation
2237,Ethnic or Religious Insult
2238,Anti-State
2240,Anti-State
2240,False News
2241,Retaliatory
2243,Anti-State
2245,Anti-State
2246,Anti-State
2249,Anti-State
2250,Anti-State
2250,Retaliatory
2251,No Charge
2252,Anti-State
2253,Anti-State
2254,Anti-State
2254,False News
2259,Anti-State
2260,Anti-State
2263,Anti-State
2265,Anti-State
2269,Anti-State
2273,Defamation
2275,No Charge
2278,Anti-State
2282,Anti-State
2286,Anti-State
2287,No Charge
2291,No Charge
2292,No Charge
2293,Ethnic or Religious Insult
2298,Anti-State
2299,Anti-State
2301,No Charge
2305,Anti-State
2307,Anti-State
2312,No Charge
2316,Anti-State
2317,Anti-State
2318,Anti-State
2319,Anti-State
2320,Anti-State
2322,Anti-State
2324,Defamation
2325,Anti-State
2329,No Charge
2330,Anti-State
2332,Anti-State
2334,Anti-State
2335,Anti-State
2336,Anti-State
2336,Retaliatory
2340,Anti-State
2342,Anti-State
2344,Anti-State
2347,Anti-State
2349,Anti-State
2349,Defamation
2353,No Charge
2354,Retaliatory
2356,Anti-State
2358,No charge disclosed
2359,Anti-State
2367,Anti-State
2367,Retaliatory
2371,Anti-State
2373,Anti-State
2374,Anti-State
2374,Ethnic or Religious Insult
2375,No Charge
2378,No charge disclosed
2379,Anti-State
2386,Anti-State
2389,Retaliatory
2390,Anti-State
2392,No Charge
2395,Anti-State
2396,Anti-State
2397,No Charge
2398,No Charge
2402,Defamation
2404,Anti-State
2405,No Charge
2406,False News
2407,Anti-State
