J_Id,charge
3294,Anti-State
3295,Anti-State
3307,Anti-State
3312,Retaliatory
3317,Anti-State
3321,Retaliatory
3324,Anti-State
3331,Anti-State
3333,Anti-State
3336,Anti-State
3336,False News
3339,Anti-State
3340,Defamation
3342,Anti-State
3345,No Charge
3348,Anti-State
3350,No Charge
3351,No Charge
3352,Anti-State
3353,Anti-State
3354,Anti-State
3355,Retaliatory
3356,Anti-State
3357,Anti-State
3358,Anti-State
3359,Anti-State
3360,Anti-State
3361,Anti-State
3362,Anti-State
3363,False News
3364,Anti-State
3365,Anti-State
3370,Anti-State
3371,Anti-State
3372,Anti-State
3373,Anti-State
3374,Anti-State
3379,Anti-State
3382,Retaliatory
3383,No Charge
3384,Anti-State
3390,No Charge
3392,Anti-State
3393,Anti-State
3394,Anti-State
3396,Anti-State
3397,Anti-State
3398,Anti-State
3399,Anti-State
3400,Anti-State
3401,Anti-State
3402,Anti-State
3404,Anti-State
3406,No Charge
3410,Anti-State
3411,Anti-State
3414,Anti-State
3415,Anti-State
3416,Anti-State
3417,False News
3418,Anti-State
3419,Retaliatory
3420,Anti-State
3421,Anti-State
3422,Anti-State
3423,Anti-State
3424,Retaliatory
3428,Anti-State
3431,Defamation
3433,Anti-State
3437,No charge disclosed
3438,Anti-State
3439,Anti-State
3440,Retaliatory
3441,Anti-State
3442,Anti-State
3443,No Charge
3445,Anti-State
3447,No Charge
3448,Anti-State
3449,No Charge
3450,Anti-State
3451,Anti-State
3455,No Charge
3457,Retaliatory
3460,Anti-State
3461,Retaliatory
3463,Anti-State
3470,Anti-State
3471,Anti-State
3472,No charge disclosed
3473,Anti-State
3474,Anti-State
3477,Anti-State
3480,Defamation
3484,Retaliatory
3485,No Charge
3488,Anti-State
3497,Anti-State
3498,Anti-State
3499,Retaliatory
3502,Anti-State
3504,Anti-State
3504,False News
3505,Anti-State
3506,Anti-State
3507,Anti-State
3508,Anti-State
3510,Retaliatory
3510,False News
3511,Retaliatory
3512,Anti-State
3513,Anti-State
3514,Anti-State
3515,No Charge
3517,Retaliatory
3518,Anti-State
3519,Anti-State
3520,Anti-State
3521,Anti-State
3522,Anti-State
3523,Retaliatory
3524,Defamation
3525,Censorship Violation
3526,Anti-State
3527,Anti-State
3528,Retaliatory
3529,Anti-State
3530,Anti-State
3530,Defamation
3532,Anti-State
3534,Anti-State
3535,Defamation
3536,False News
3541,Retaliatory
3542,Anti-State
3543,No Charge
3544,False News
3547,No charge disclosed
3548,Anti-State
3548,No Charge
3549,Censorship Violation
3550,Anti-State
3556,Retaliatory
3557,Defamation
3558,Anti-State
3559,Anti-State
3561,Anti-State
3563,Anti-State
3564,Anti-State
3565,Anti-State
3566,Anti-State
3567,Anti-State
3570,Anti-State
3571,Anti-State
3572,Anti-State
3574,Anti-State
3574,False News
3575,Anti-State
3576,Anti-State
3576,Defamation
3577,Anti-State
3578,Anti-State
3579,Anti-State
3580,Anti-State
3581,Anti-State
3582,Anti-State
3585,Anti-State
3586,Anti-State
3586,False News
3587,Anti-State
3588,Anti-State
